Obs_Date,Plot,avg_7_max,avg_7,avg_mons_max,mons_max
2019-09-21,1,0.0942962962962963,0.08721219135802469,0.0942962962962963,0.158
2019-09-21,2,0.07933333333333334,0.07144907407407407,0.07933333333333334,0.09
2019-09-21,3,0.089,0.08410570987654321,0.089,0.104
2019-09-21,4,0.07518518518518519,0.07011033950617283,0.07518518518518519,0.081
2019-09-21,5,0.08151851851851852,0.07588271604938272,0.08151851851851852,0.128
2019-09-21,6,0.07507407407407407,0.06930941358024692,0.07507407407407407,0.084
2019-09-21,7,0.09051851851851851,0.08660416666666666,0.09051851851851853,0.105
2019-09-21,8,0.13770370370370372,0.13324151234567902,0.13770370370370372,0.223
2019-09-21,9,0.08014814814814815,0.07594444444444444,0.08014814814814815,0.095
2019-09-21,10,0.1131111111111111,0.10574151234567901,0.1131111111111111,0.188
2019-09-21,11,0.07596296296296297,0.07168441358024691,0.07596296296296297,0.085
2019-09-21,12,0.07396296296296297,0.06705015432098765,0.07396296296296297,0.087
2019-09-21,13,0.064,0.058597222222222224,0.064,0.072
2019-09-21,14,0.10296296296296296,0.09562731481481482,0.10296296296296296,0.176
2019-09-21,15,0.07703703703703704,0.07173070987654322,0.07703703703703704,0.084
2019-09-21,16,0.12374074074074073,0.12110802469135802,0.12374074074074075,0.131
2019-09-21,17,0.09603703703703703,0.09100077160493827,0.09603703703703703,0.104
2019-09-21,18,0.13537037037037036,0.1265702160493827,0.13537037037037036,0.239
2020-07-31,1,0.11844444444444444,0.10782484567901235,0.11844444444444445,0.229
2020-07-31,2,0.09833333333333333,0.08707175925925927,0.09833333333333333,0.233
2020-07-31,3,0.09437037037037037,0.08619598765432099,0.09437037037037037,0.172
2020-07-31,4,0.08766666666666667,0.07917283950617283,0.08766666666666667,0.189
2020-07-31,5,0.09174074074074073,0.08499537037037037,0.09174074074074073,0.208
2020-07-31,6,0.09140740740740741,0.08220216049382716,0.09140740740740741,0.211
2020-07-31,7,0.09696296296296296,0.08895601851851852,0.09696296296296296,0.221
2020-07-31,8,0.14566666666666667,0.13827854938271605,0.14566666666666667,0.272
2020-07-31,9,0.09685185185185186,0.08862808641975309,0.09685185185185186,0.226
2020-07-31,10,0.12862962962962962,0.11870679012345679,0.12862962962962965,0.233
2020-07-31,11,0.0865925925925926,0.079929012345679007,0.0865925925925926,0.152
2020-07-31,12,0.09696296296296296,0.08690972222222222,0.09696296296296296,0.227
2020-07-31,13,0.07555555555555556,0.06783474903474904,0.07555555555555556,0.162
2020-07-31,14,0.1101111111111111,0.10229475308641975,0.1101111111111111,0.21
2020-07-31,15,0.10174074074074074,0.09156018518518519,0.10174074074074074,0.217
2020-07-31,16,0.1391851851851852,0.13365354938271606,0.1391851851851852,0.207
2020-07-31,17,0.10574074074074075,0.09875752895752896,0.10574074074074073,0.199
2020-07-31,18,0.15374074074074073,0.14504861111111111,0.15374074074074073,0.275
2021-07-26,1,0.1698888888888889,0.15767722007722007,0.1698888888888889,0.216
2021-07-26,3,0.1391851851851852,0.1327662037037037,0.1391851851851852,0.171
2021-07-26,4,0.16185185185185186,0.15178240740740742,0.16185185185185186,0.198
2021-07-26,5,0.13177777777777777,0.12412422839506172,0.13177777777777777,0.166
2021-07-26,6,0.16014814814814815,0.1498618827160494,0.16014814814814815,0.205
2021-07-26,7,0.17222222222222222,0.16427932098765433,0.17222222222222222,0.209
2021-07-26,8,0.17137037037037037,0.16493904320987654,0.17137037037037037,0.225
2021-07-26,9,0.15555555555555556,0.14385030864197532,0.15555555555555556,0.229
2021-07-26,10,0.1712962962962963,0.16197530864197532,0.1712962962962963,0.212
2021-07-26,11,0.13185185185185186,0.12628935185185186,0.13185185185185186,0.158
2021-07-26,12,0.17659259259259258,0.1629567901234568,0.17659259259259258,0.22
2021-07-26,13,0.1338148148148148,0.12401931993817619,0.1338148148148148,0.161
2021-07-26,14,0.17825925925925926,0.1659645061728395,0.17825925925925926,0.225
2021-07-26,15,0.1788888888888889,0.16683564814814814,0.1788888888888889,0.227
2021-07-26,16,0.1721851851851852,0.1678449074074074,0.1721851851851852,0.208
2021-07-26,17,0.20070370370370372,0.19046141975308642,0.20070370370370372,0.263
2021-07-26,18,0.17537037037037037,0.16684401544401545,0.17537037037037037,0.21
2021-08-24,1,0.13803703703703704,0.12985262345679013,0.13803703703703704,0.194
2021-08-24,3,0.12307407407407407,0.11708719135802469,0.12307407407407407,0.142
2021-08-24,4,0.11751851851851852,0.11040817901234568,0.11751851851851852,0.151
2021-08-24,5,0.11177777777777778,0.10576234567901234,0.11177777777777778,0.162
2021-08-24,6,0.11633333333333333,0.11049228395061729,0.11633333333333333,0.164
2021-08-24,7,0.13555555555555557,0.13162885802469135,0.13555555555555557,0.177
2021-08-24,8,0.13533333333333333,0.13056635802469135,0.13533333333333333,0.155
2021-08-24,9,0.11277777777777778,0.10443595679012346,0.11277777777777778,0.185
2021-08-24,10,0.13244444444444445,0.1276820987654321,0.13244444444444445,0.179
2021-08-24,11,0.10696296296296297,0.1035787037037037,0.10696296296296297,0.149
2021-08-24,12,0.12333333333333334,0.11629320987654321,0.12333333333333334,0.19
2021-08-24,13,0.09377777777777778,0.08523533950617283,0.09377777777777778,0.12
2021-08-24,14,0.1337037037037037,0.12716512345679012,0.1337037037037037,0.181
2021-08-24,15,0.12840740740740741,0.12046141975308643,0.12840740740740741,0.175
2021-08-24,16,0.14696296296296296,0.14351157407407408,0.14696296296296296,0.163
2021-08-24,17,0.1711851851851852,0.16281327160493828,0.1711851851851852,0.299
2021-08-24,18,0.15044444444444444,0.1443888888888889,0.15044444444444444,0.183
2022-07-05,1,0.10466666666666667,0.09710751748251749,0.10466666666666667,0.154
2022-07-05,3,0.08666666666666667,0.0810812937062937,0.08666666666666667,0.111
2022-07-05,4,0.077,0.07153940455341506,0.077,0.103
2022-07-05,5,0.10577777777777778,0.10068968531468532,0.10577777777777778,0.154
2022-07-05,6,0.10725925925925926,0.10003583916083916,0.10725925925925926,0.163
2022-07-05,7,0.0917037037037037,0.08755419580419581,0.0917037037037037,0.103
2022-07-05,8,0.15977777777777777,0.1522403846153846,0.15977777777777777,0.277
2022-07-05,9,0.11196296296296296,0.10563199300699301,0.11196296296296296,0.163
2022-07-05,10,0.13622222222222222,0.12988461538461538,0.13622222222222222,0.206
2022-07-05,11,0.07959259259259259,0.0749423076923077,0.07959259259259259,0.098
2022-07-05,12,0.09233333333333334,0.08372027972027972,0.09233333333333334,0.145
2022-07-19,1,0.126,0.11795555555555555,0.126,0.154
2022-07-19,3,0.1025925925925926,0.09631555555555556,0.1025925925925926,0.114
2022-07-19,4,0.09155555555555556,0.08505966162065895,0.09155555555555556,0.103
2022-07-19,5,0.13455555555555557,0.12752622222222224,0.13455555555555557,0.178
2022-07-19,6,0.13048148148148148,0.12275377777777778,0.13048148148148148,0.163
2022-07-19,7,0.09866666666666667,0.09396266666666667,0.09866666666666667,0.108
2022-07-19,8,0.19822222222222222,0.1909591111111111,0.19822222222222222,0.277
2022-07-19,9,0.13766666666666666,0.13135911111111112,0.13766666666666666,0.163
2022-07-19,10,0.16725925925925925,0.16166044444444444,0.16725925925925925,0.206
2022-07-19,11,0.09114814814814814,0.08599555555555556,0.09114814814814814,0.101
2022-07-19,12,0.12129629629629629,0.11012355555555556,0.12129629629629629,0.15
2021-07-26,2,NA,NA,NA,NA
2021-08-24,2,NA,NA,NA,NA
2022-07-05,2,NA,NA,NA,NA
2022-07-05,13,NA,NA,NA,NA
2022-07-05,14,NA,NA,NA,NA
2022-07-05,15,NA,NA,NA,NA
2022-07-05,16,NA,NA,NA,NA
2022-07-05,17,NA,NA,NA,NA
2022-07-05,18,NA,NA,NA,NA
2022-07-19,2,NA,NA,NA,NA
2022-07-19,13,NA,NA,NA,NA
2022-07-19,14,NA,NA,NA,NA
2022-07-19,15,NA,NA,NA,NA
2022-07-19,16,NA,NA,NA,NA
2022-07-19,17,NA,NA,NA,NA
2022-07-19,18,NA,NA,NA,NA
